id_str,post_type,post_text,likes_count,comments_count,created_at,user_name,user_profile_image_url,media_url,link_url
7.36E+17,Text_Post,@realDonaldTrump I would like to send you a copy of my book Bamboo Promise. Spent 12 yrs to finish. Story of my genocide survival.,0,0,Fri May 27 05:38:15 +0000 2016,amit,http://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png,,
7.26E+17,Text_Post,@BenRogers @Pluckers @SkinWade Yeeaaah buddy!! #Fireball time!! Who cares if Sweden banned it for containing too much antifreeze!,0,0,Thu Apr 28 19:07:48 +0000 2016,amit,http://pbs.twimg.com/profile_images/1729953668/photo88_normal.JPG,,
4.68E+17,Text_Post,"Crores worth of prizes to be won in #MyntraIFL Choose your city, upload your stylish picture, Vote on daes &amp; win big! http://t.co/FIWceMuckR",0,0,Mon May 19 10:04:26 +0000 2014,Fahad parmar,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,,http://bit.ly/ifl14
1.06E+17,Text_Post,I hate waking up at 7:45 in the morning for work :( TRYING this out http://t.co/UV7v3hF,0,0,Wed Aug 24 08:05:28 +0000 2011,Josh Van Doren,http://pbs.twimg.com/profile_images/524369708/scan0002_normal.jpg,,http://tinyurl.com/3jd8378
7.36E+17,Text_Post,sorry @gotquestions tried to send myself a pw reminder and sent you text spam. my bad. #meaculpa,0,0,Fri May 27 06:25:48 +0000 2016,GOTquestions,http://pbs.twimg.com/profile_images/736069682180935680/gG0TGV26_normal.jpg,,
6.72E+17,Text_Post,@HallHallbball where's the video? No proof! BS,3,0,Thu Dec 03 06:07:45 +0000 2015,Ivan Jauregui,http://pbs.twimg.com/profile_images/703080384024608769/KV1wLh99_normal.jpg,,
7.36E+17,Text_Post,"15 followers/hour averages 360/day averages 2520/week averages 131,040/year.  I'll die long before I catch up to you @jimmyfallon!",0,0,Fri May 27 06:47:37 +0000 2016,GOTquestions,http://pbs.twimg.com/profile_images/736069682180935680/gG0TGV26_normal.jpg,,
7.27E+17,Text_Post,11 Cities Hit Hardest by Extreme Poverty - 24/7 Wall St. https://t.co/3yJBPk6pb3 via @247WallSt,0,0,Mon May 02 23:49:55 +0000 2016,Donna Banks,http://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png,,http://247wallst.com/special-report/2016/04/26/cities-hit-hardest-by-extreme-poverty/
7.35E+17,Text_Post,@xnayeliamaro @Megas770 It's not right for anybody to fly or wave another flag while causing havoc in the country they live in.,0,0,Wed May 25 06:03:52 +0000 2016,So!,http://pbs.twimg.com/profile_images/706649490770391040/nZuoOllj_normal.jpg,,
7.31E+17,Text_Post,@ArianatorIsland #you look stunning...,0,0,Sat May 14 09:49:43 +0000 2016,Chasesuno,http://pbs.twimg.com/profile_images/726314027161403392/EVlOwoHw_normal.jpg,,
7.36E+17,Photo_Post,"Much condolences to this young,  brilliant beautiful girl from Karatina university, it's so sad. Drivers be careful. https://t.co/Vwlg4hghYR",0,0,Wed May 25 19:05:27 +0000 2016,SouthRift Chronicles,http://pbs.twimg.com/profile_images/735177495062941697/olTHadX-_normal.jpg,http://pbs.twimg.com/media/CjUwaTdWEAAfNiV.jpg,
7.34E+17,Photo_Post,RT @lukehellier: This recommendation from the resolutions committee must be defeated #mngop2016 #SundaySalesMN https://t.co/AotgzkmSvq,0,2,Sat May 21 21:02:26 +0000 2016,Paul Tuschy,http://pbs.twimg.com/profile_images/718691004996390912/fpB-K3hO_normal.jpg,http://pbs.twimg.com/media/Ci_Tb0QUgAAJwdR.jpg,
7.31E+17,Photo_Post,RT @RepChristensen: #SundaySalesMN is about freedom. #mnleg @SundaySalesMN https://t.co/78FfGj70Wv,0,22,Fri May 13 19:14:31 +0000 2016,Paul Tuschy,http://pbs.twimg.com/profile_images/718691004996390912/fpB-K3hO_normal.jpg,http://pbs.twimg.com/tweet_video_thumb/CiRzY2uUoAA6QvP.jpg,
6.18E+17,Photo_Post,RT @FortCampbell: Happy Independence Day! http://t.co/fIRIdXo3Kf,0,8,Sun Jul 05 02:42:06 +0000 2015,Hannah Carter,http://pbs.twimg.com/profile_images/650833305445646336/y68SnAcr_normal.jpg,http://pbs.twimg.com/media/CJHe-eeWcAAihLH.jpg,
6.42E+17,Photo_Post,"Another new painting I did of a Chihuahua with a sombrero, chilies &amp; chips. (: http://t.co/UWIuRBvQvN",0,0,Fri Sep 11 22:15:01 +0000 2015,Ray Stevens,http://pbs.twimg.com/profile_images/3615780565/a7b630b1d95ee4cee4f479662ef61803_normal.jpeg,http://pbs.twimg.com/media/COp7Nd-UEAAldOy.jpg,
7.36E+17,Photo_Post,RT @AnimaIposts: i need u https://t.co/UPOTOauR1X,0,580,Fri May 27 03:35:07 +0000 2016,Kaitlyn Wright,http://pbs.twimg.com/profile_images/734908659084365824/TNvdfoxO_normal.jpg,http://pbs.twimg.com/media/Cjbf38kXAAASNHT.jpg,
6.18E+17,Photo_Post,@GiCentralAZ husband got in on it too! My soldier my hero! Blessed to be here #FITS15 #Merica #July4 #IndependenceDay http://t.co/iNmodCn8E4,2,1,Sun Jul 05 01:35:24 +0000 2015,Hannah Carter,http://pbs.twimg.com/profile_images/650833305445646336/y68SnAcr_normal.jpg,http://pbs.twimg.com/media/CJHTXSTVAAARERl.jpg,
7.23E+17,Photo_Post,@BenRogers @SkinWade spotted in oak cliff! https://t.co/uSYAogyOPB,0,0,Tue Apr 19 22:24:18 +0000 2016,CYRUS,http://pbs.twimg.com/profile_images/1729953668/photo88_normal.JPG,http://pbs.twimg.com/media/CgcEpWhUEAACDZA.jpg,
7.21E+17,Photo_Post,RT @kanyewest: At the God's last game https://t.co/eucluEFOFX,0,77950,Thu Apr 14 16:59:32 +0000 2016,Logan Adam,http://pbs.twimg.com/profile_images/730579683415298049/IDApJyI6_normal.jpg,http://pbs.twimg.com/media/Cf-DbucUIAE14b6.jpg,
7.35E+17,Photo_Post,Day 2: Hold the Door... WAAAAAAAAAAAAA https://t.co/8CMgANp8rY,0,0,Mon May 23 21:00:21 +0000 2016,So!,http://pbs.twimg.com/profile_images/706649490770391040/nZuoOllj_normal.jpg,http://pbs.twimg.com/tweet_video_thumb/CjK3haOUoAAP3hE.jpg,
7.11E+17,Link_Post,"Check out the puzzle I just completed with Jigsaw Puzzle!
https://t.co/jXZKCC4Tvs https://t.co/icmfrbIo3X",0,0,Fri Mar 18 03:49:42 +0000 2016,Bill Batka,http://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png,http://pbs.twimg.com/media/CdzSsOhW0AAZrbN.jpg,http://www.amazon.com/gp/mas/dl/android?p=com.criticalhitsoftware.jigsawpuzzle.underground
7.35E+17,Link_Post,RT @BHThisMonth: Check out our Google I/O Event Recap! It's 10 mins long. https://t.co/Ctlv7cSzpL https://t.co/DNruL0kBHe,0,4,Mon May 23 06:46:43 +0000 2016,Alex,http://pbs.twimg.com/profile_images/736071248615079945/FTML-EkV_normal.jpg,http://pbs.twimg.com/media/Ci0h4GbWsAIyepM.jpg,http://bit.ly/1W4b0ex
7.24E+17,Link_Post,RT @dmorr88: Happy Earth Day! 150 Retweets and Nolan gets his Mohawk. https://t.co/6ruqsuUw2s https://t.co/fZrmLydz4D,0,154,Fri Apr 22 21:30:34 +0000 2016,Logan Adam,http://pbs.twimg.com/profile_images/730579683415298049/IDApJyI6_normal.jpg,http://pbs.twimg.com/ext_tw_video_thumb/723618738386300929/pu/img/6pVo_nMsX0G4XlAA.jpg,http://www.worldwildlife.org
7.25E+17,Link_Post,RT @vicenews: Mexico wants to let people carry more weed https://t.co/xol6eiG1xy https://t.co/QdabXWJJR1,0,24,Mon Apr 25 12:00:10 +0000 2016,Bradko,http://pbs.twimg.com/profile_images/378800000853650410/9c99487d911908b1f85d7d7df1898048_normal.jpeg,http://pbs.twimg.com/media/CgobqcOUgAA3wlu.jpg,http://bit.ly/1SeuF8F
7.35E+17,Link_Post,RT @FlirtAndSwipe: Trade your snapchat name with chicks @ https://t.co/JvfU7hWHv9 https://t.co/Z2KkiWl8SV,0,315,Tue May 24 07:46:30 +0000 2016,Ron the Beast,http://pbs.twimg.com/profile_images/736063002282074116/DA1Y-sPd_normal.jpg,http://pbs.twimg.com/media/CjKxj7YVEAAd_UF.jpg,http://FlirtAndSwipe.com?v0HZS
7.36E+17,Link_Post,@peterthiel will you please help me? https://t.co/pvjUqUcnOH https://t.co/pjSfE9Kxol,0,0,Thu May 26 18:56:38 +0000 2016,Nunyabiznessu,http://pbs.twimg.com/profile_images/727039705846435840/SDad-7mq_normal.jpg,http://pbs.twimg.com/media/CjZ39_TUoAE74_Z.jpg,http://dt.gofund.me/2b2j5rbw&rcid=37adf646237311e6ba91bc764e05b494
7.35E+17,Link_Post,@Caitlyn_Jenner https://t.co/c1v7CbEhrk.   Please help https://t.co/sk2wArchUk,1,0,Tue May 24 19:50:28 +0000 2016,Nunyabiznessu,http://pbs.twimg.com/profile_images/727039705846435840/SDad-7mq_normal.jpg,http://pbs.twimg.com/media/CjPxFHGUgAA2YOi.jpg,http://dt.gofund.me/2b2j5rbw&rcid=95608ba821d611e6a1d8bc764e05b494
7.34E+17,Link_Post,RT @BHThisMonth: Check out our #GoogleIO2016 Recap! In 10 minutes: https://t.co/Ctlv7cAY1b https://t.co/dDERQTGvtR,0,4,Fri May 20 04:17:38 +0000 2016,Alex,http://pbs.twimg.com/profile_images/736071248615079945/FTML-EkV_normal.jpg,http://pbs.twimg.com/media/Ci31HdJU4AQWXiU.jpg,http://bit.ly/1W4b0ex
7.36E+17,Link_Post,RT @GoalsOnTrack: SMART Goal Setting: A Surefire Way To Achieve Your Goals https://t.co/dQwlbWaJyJ https://t.co/540itm4LDA,0,5,Fri May 27 02:21:17 +0000 2016,SouthRift Chronicles,http://pbs.twimg.com/profile_images/735177495062941697/olTHadX-_normal.jpg,http://pbs.twimg.com/media/CjaUfJOWYAAkT7u.jpg,http://bit.ly/1m51ALf
7.36E+17,Link_Post,RT @UNESCO: Girls and Women education is key to sustainable development https://t.co/dxJG8mzbyz https://t.co/5n0YQjbPKW,0,133,Fri May 27 07:03:18 +0000 2016,GOTquestions,http://pbs.twimg.com/profile_images/736069682180935680/gG0TGV26_normal.jpg,http://pbs.twimg.com/media/CjceF01UgAELnFB.jpg,http://on.unesco.org/20F2aCK
